freq_hz,power,power_db,active
-501685.698486,2.2551404e-06,-51.223566,0
-501654.859680,2.73684617e-06,-50.382798,0
-501624.020874,2.09020252e-06,-51.553418,0
-501593.182068,2.06066968e-06,-51.615218,0
-501562.343262,1.95887358e-06,-51.835238,0
-501531.504456,1.97652061e-06,-51.796288,0
-501500.665649,2.3962319e-06,-50.960013,0
-501469.826843,2.09913268e-06,-51.534903,0
-501438.988037,2.27589908e-06,-51.183772,0
-501408.149231,1.98142813e-06,-51.785518,0
-501377.310425,2.2365034e-06,-51.259606,0
-501346.471619,2.39842864e-06,-50.956034,0
-501315.632812,2.46169556e-06,-50.842958,0
-501284.794006,1.94225558e-06,-51.872238,0
-501253.955200,2.13986708e-06,-51.451434,0
-501223.116394,1.84759503e-06,-52.089234,0
-501192.277588,2.03749977e-06,-51.664326,0
-501161.438782,2.10773249e-06,-51.517147,0
-501130.599976,2.22155515e-06,-51.288731,0
-501099.761169,2.1978815e-06,-51.335259,0
-501068.922363,2.30197916e-06,-51.134288,0
-501038.083557,1.89891197e-06,-51.970253,0
-501007.244751,2.15081824e-06,-51.429265,0
-500976.405945,2.26293866e-06,-51.208574,0
-500945.567139,2.57185567e-06,-50.652836,0
-500914.728333,2.16814232e-06,-51.394424,0
-500883.889526,2.38260571e-06,-50.984780,0
-500853.050720,2.44863482e-06,-50.866061,0
-500822.211914,2.23303715e-06,-51.266342,0
-500791.373108,1.66710894e-06,-52.535662,0
-500760.534302,1.90642641e-06,-51.953101,0
-500729.695496,2.23847922e-06,-51.255771,0
-500698.856689,1.91485687e-06,-51.933939,0
-500668.017883,1.83719925e-06,-52.113739,0
-500637.179077,2.19126158e-06,-51.348359,0
-500606.340271,2.15337723e-06,-51.424101,0
-500575.501465,1.91279426e-06,-51.938619,0
-500544.662659,2.07800496e-06,-51.578836,0
-500513.823853,2.54930089e-06,-50.691091,0
-500482.985046,2.13615573e-06,-51.458973,0
-500452.146240,2.01532622e-06,-51.711848,0
-500421.307434,2.57390059e-06,-50.649384,0
-500390.468628,2.64728415e-06,-50.527296,0
-500359.629822,2.61390101e-06,-50.582410,0
-500328.791016,2.1478364e-06,-51.435290,0
-500297.952209,1.66867906e-06,-52.531574,0
-500267.113403,1.79235597e-06,-52.221059,0
-500236.274597,2.00310609e-06,-51.738262,0
-500205.435791,2.13808285e-06,-51.455056,0
-500174.596985,1.94184678e-06,-51.873152,0
-500143.758179,2.11790528e-06,-51.496236,0
-500112.919373,2.01651208e-06,-51.709293,0
-500082.080566,1.9101427e-06,-51.944644,0
-500051.241760,1.77344945e-06,-52.267114,0
-500020.402954,1.66769157e-06,-52.534144,0
-499989.564148,1.80199272e-06,-52.197771,0
-499958.725342,2.04631204e-06,-51.645583,0
-499927.886536,1.89293897e-06,-51.983936,0
-499897.047729,1.59037516e-06,-52.740306,0
-499866.208923,2.09693484e-06,-51.539452,0
-499835.370117,2.29016967e-06,-51.156625,0
-499804.531311,1.84935707e-06,-52.085094,0
-499773.692505,2.06714706e-06,-51.601588,0
-499742.853699,2.15140842e-06,-51.428073,0
-499712.014893,1.84231098e-06,-52.101672,0
-499681.176086,2.01795509e-06,-51.706187,0
-499650.337280,2.01530608e-06,-51.711892,0
-499619.498474,2.53661986e-06,-50.712748,0
-499588.659668,2.9222093e-06,-50.098189,0
-499557.820862,2.44191011e-06,-50.878005,0
-499526.982056,2.16910753e-06,-51.392491,0
-499496.143250,2.210818e-06,-51.309772,0
-499465.304443,1.89778027e-06,-51.972842,0
-499434.465637,1.73754354e-06,-52.355945,0
-499403.626831,2.26441588e-06,-51.205740,0
-499372.788025,1.79369959e-06,-52.217805,0
-499341.949219,1.63374699e-06,-52.623454,0
-499311.110413,2.22806225e-06,-51.276029,0
-499280.271606,2.02596695e-06,-51.688978,0
-499249.432800,1.74459704e-06,-52.338350,0
-499218.593994,1.77889632e-06,-52.253795,0
-499187.755188,2.13383945e-06,-51.463684,0
-499156.916382,2.10441084e-06,-51.523996,0
-499126.077576,2.16140543e-06,-51.407939,0
-499095.238770,2.77759656e-06,-50.318610,0
-499064.399963,2.59745259e-06,-50.609825,0
-499033.561157,2.42506773e-06,-50.908063,0
-499002.722351,1.87688555e-06,-52.020924,0
-498971.883545,2.38320575e-06,-50.983686,0
-498941.044739,2.59001972e-06,-50.622271,0
-498910.205933,2.63639184e-06,-50.545202,0
-498879.367126,2.45405841e-06,-50.856453,0
-498848.528320,2.48632113e-06,-50.799729,0
-498817.689514,2.65302219e-06,-50.517893,0
-498786.850708,2.44918946e-06,-50.865078,0
-498756.011902,2.1749217e-06,-51.380865,0
-498725.173096,2.085159e-06,-51.563910,0
-498694.334290,1.90319412e-06,-51.960471,0
-498663.495483,2.26733745e-06,-51.200140,0
-498632.656677,2.64213601e-06,-50.535750,0
-498601.817871,2.99224589e-06,-49.995329,0
-498570.979065,2.17669487e-06,-51.377326,0
-498540.140259,1.7829394e-06,-52.243936,0
-498509.301453,1.86831681e-06,-52.040796,0
-498478.462646,2.14837332e-06,-51.434204,0
-498447.623840,2.19038509e-06,-51.350097,0
-498416.785034,2.02108025e-06,-51.699466,0
-498385.946228,2.41214248e-06,-50.931272,0
-498355.107422,2.418599e-06,-50.919663,0
-498324.268616,1.6315666e-06,-52.629254,0
-498293.429810,1.68490322e-06,-52.489552,0
-498262.591003,2.1065309e-06,-51.519623,0
-498231.752197,2.32826808e-06,-51.084972,0
-498200.913391,2.62087174e-06,-50.570844,0
-498170.074585,1.92050913e-06,-51.921138,0
-498139.235779,1.60404894e-06,-52.703126,0
-498108.396973,1.77602809e-06,-52.260803,0
-498077.558167,2.07129062e-06,-51.592891,0
-498046.719360,2.19045348e-06,-51.349961,0
-498015.880554,1.75471672e-06,-52.313232,0
-497985.041748,1.53195778e-06,-52.902834,0
-497954.202942,1.956588e-06,-51.840308,0
-497923.364136,2.05030859e-06,-51.637109,0
-497892.525330,1.69200944e-06,-52.471274,0
-497861.686523,2.35769738e-06,-51.030421,0
-497830.847717,2.16768637e-06,-51.395337,0
-497800.008911,2.00826912e-06,-51.727083,0
-497769.170105,1.80393611e-06,-52.193090,0
-497738.331299,1.85894375e-06,-52.062639,0
-497707.492493,1.81394326e-06,-52.169065,0
-497676.653687,1.84817381e-06,-52.087874,0
-497645.814880,2.15757958e-06,-51.415633,0
-497614.976074,2.19846082e-06,-51.334114,0
-497584.137268,2.03497269e-06,-51.669716,0
-497553.298462,2.02645585e-06,-51.687930,0
-497522.459656,2.12978446e-06,-51.471945,0
-497491.620850,1.6852427e-06,-52.488677,0
-497460.782043,1.70299693e-06,-52.443163,0
-497429.943237,2.44015193e-06,-50.881133,0
-497399.104431,2.22217101e-06,-51.287527,0
-497368.265625,2.1126685e-06,-51.506988,0
-497337.426819,1.97851387e-06,-51.791911,0
-497306.588013,2.03911859e-06,-51.660877,0
-497275.749207,2.31489381e-06,-51.109991,0
-497244.910400,1.98699078e-06,-51.773343,0
-497214.071594,1.9696438e-06,-51.811425,0
-497183.232788,1.85705225e-06,-52.067060,0
-497152.393982,1.64795313e-06,-52.585853,0
-497121.555176,1.77921461e-06,-52.253018,0
-497090.716370,2.00154879e-06,-51.741640,0
-497059.877563,2.01174181e-06,-51.719579,0
