delta,offset,cp_score,qpsk4_score
28,931,0.02202156,0.00378620
29,932,0.02324544,0.00596132
30,933,0.02244232,0.01275659
31,934,0.02305557,0.01127868
32,935,0.02582762,0.00678002
33,936,0.02906060,0.00792510
34,937,0.03300776,0.01844729
35,938,0.03566664,0.00161980
36,939,0.03617788,0.00681328
37,940,0.03377197,0.01497894
38,941,0.02837054,0.00234251
39,942,0.02654993,0.01424496
40,943,0.02759736,0.01617967
41,944,0.02931732,0.00799258
42,945,0.03283411,0.01313642
43,946,0.03446506,0.01606481
44,947,0.03076442,0.00641797
45,948,0.02640509,0.02908478
46,949,0.02886811,0.01749258
47,950,0.03433763,0.00715911
48,951,0.03584475,0.00445107
49,952,0.03670451,0.02680887
50,953,0.03786876,0.01370035
51,954,0.04152789,0.03015934
52,955,0.04543842,0.00494406
53,956,0.04826449,0.01332694
54,957,0.04624707,0.00669453
55,958,0.04546979,0.00564847
56,959,0.04572929,0.00737397
57,960,0.04703569,0.00531197
58,961,0.04751608,0.01699763
59,962,0.04717633,0.02136062
60,963,0.04561279,0.00323000
61,964,0.04433667,0.01137610
62,965,0.04358186,0.01598074
63,966,0.04143873,0.00895073
64,967,0.04007650,0.01261195
65,968,0.03624801,0.02079068
66,969,0.03523361,0.00586486
67,970,0.03414177,0.00072656
68,971,0.03522330,0.00691033
69,972,0.03338900,0.01069690
70,973,0.03243632,0.01463264
71,974,0.03058906,0.00823376
72,975,0.02672672,0.00343388
73,976,0.02145211,0.00204368
74,977,0.01882323,0.01420762
75,978,0.01780546,0.01106585
76,979,0.02141308,0.01317070
77,980,0.02117356,0.01795543
78,981,0.01628765,0.01930005
79,982,0.01237566,0.01394605
80,983,0.01492811,0.01631349
81,984,0.01696236,0.00520796
82,985,0.01624030,0.01299078
83,986,0.01213564,0.00752081
84,987,0.00708878,0.01925824
85,988,0.01030072,0.02302654
86,989,0.01148252,0.00801564
87,990,0.01262891,0.01316520
88,991,0.01402278,0.02124127
89,992,0.01855223,0.01692574
90,993,0.02131361,0.01968486
91,994,0.02131387,0.01522349
92,995,0.02319670,0.01808466
93,996,0.02606876,0.01423870
94,997,0.02734411,0.01249799
95,998,0.02699121,0.01282220
96,999,0.02764561,0.01075231
97,1000,0.02834992,0.00709620
98,1001,0.03245115,0.00411280
