i,q,symbol,bin
-0.7154118,0.6987031,0,-159
0.2587004,-0.9659576,0,-158
-0.9080587,-0.4188429,0,-157
0.6928132,-0.7211171,0,-156
-0.5650250,-0.8250738,0,-155
0.8408844,0.5412148,0,-154
0.0439185,0.9990351,0,-153
-0.6933223,-0.7206276,0,-152
-0.9266302,0.3759739,0,-151
0.2159713,0.9763997,0,-150
-0.3909706,0.9204032,0,-149
0.6263698,0.7795261,0,-148
0.6627902,0.7488051,0,-147
0.9507550,0.3099434,0,-146
0.0896628,-0.9959722,0,-145
0.6290588,0.7773577,0,-144
0.8169008,0.5767783,0,-143
0.5724740,0.8199229,0,-142
0.5562506,-0.8310146,0,-141
-0.9545322,-0.2981076,0,-140
0.9351922,0.3541404,0,-139
0.0289968,0.9995795,0,-138
-0.5220059,0.8529419,0,-137
0.9835234,-0.1807808,0,-136
-0.6814677,0.7318482,0,-135
-0.9985940,0.0530093,0,-134
0.9787014,0.2052894,0,-133
0.5090942,-0.8607108,0,-132
0.1146708,-0.9934036,0,-131
0.0892361,0.9960105,0,-130
0.0484998,-0.9988232,0,-129
-0.4063108,-0.9137350,0,-128
-0.7821971,-0.6230312,0,-127
-0.2672228,-0.9636347,0,-126
0.9888321,-0.1490335,0,-125
0.9871538,0.1597730,0,-124
0.8312439,-0.5559080,0,-123
-0.1734236,0.9848473,0,-122
0.8658669,0.5002744,0,-121
0.6581740,-0.7528659,0,-120
0.2904575,-0.9568879,0,-119
0.1404511,0.9900876,0,-118
-0.6065179,-0.7950698,0,-117
-0.9478602,0.3186862,0,-116
-0.3522679,0.9358992,0,-115
0.8774345,0.4796965,0,-114
0.7761309,-0.6305719,0,-113
-0.1034284,0.9946369,0,-112
-0.8705804,0.4920262,0,-111
-0.7781606,-0.6280653,0,-110
0.0564736,-0.9984041,0,-109
0.5802892,-0.8144104,0,-108
0.5849195,0.8110913,0,-107
0.9983522,0.0573825,0,-106
-0.9591190,0.2830030,0,-105
0.7871666,-0.6167404,0,-104
-0.3552623,0.9347667,0,-103
0.9987873,-0.0492334,0,-102
-0.0387860,-0.9992476,0,-101
-0.6409491,-0.7675833,0,-100
0.6014507,0.7989099,0,-99
0.9789860,0.2039274,0,-98
0.8578587,-0.5138856,0,-97
0.3470691,-0.9378396,0,-96
-0.7843962,0.6202601,0,-95
-0.8687137,0.4953147,0,-94
0.9778243,0.2094271,0,-93
0.7905515,0.6123956,0,-92
-0.6438631,-0.7651407,0,-91
0.7799245,0.6258737,0,-90
-0.4152287,-0.9097171,0,-89
-0.7895290,-0.6137133,0,-88
-0.4474379,0.8943149,0,-87
0.5026452,0.8644928,0,-86
0.8666208,0.4989673,0,-85
-0.8304622,0.5570749,0,-84
0.2731290,-0.9619774,0,-83
0.4131586,0.9106591,0,-82
0.1390774,0.9902815,0,-81
-0.1758462,0.9844176,0,-80
0.4596593,0.8880953,0,-79
0.2624136,0.9649555,0,-78
-0.9353005,-0.3538544,0,-77
0.6996220,-0.7145131,0,-76
-0.1132326,0.9935685,0,-75
0.9226905,-0.3855414,0,-74
-0.1580415,-0.9874325,0,-73
0.5653045,-0.8248823,0,-72
0.9794565,-0.2016554,0,-71
0.3545243,0.9350468,0,-70
-0.9990914,-0.0426182,0,-69
0.6271711,0.7788815,0,-68
0.1669493,0.9859655,0,-67
-0.9897615,-0.1427313,0,-66
0.2124825,0.9771649,0,-65
-0.5371327,0.8434978,0,-64
-0.0192379,0.9998149,0,-63
0.7581868,-0.6520374,0,-62
-0.6512207,-0.7588884,0,-61
0.9404846,0.3398361,0,-60
0.2420248,-0.9702700,0,-59
-0.9121742,-0.4098028,0,-58
0.7363442,0.6766070,0,-57
-0.0335054,-0.9994385,0,-56
-0.4723927,-0.8813882,0,-55
-0.9002631,-0.4353463,0,-54
0.3407367,-0.9401587,0,-53
0.7725990,0.6348943,0,-52
-0.0704795,0.9975132,0,-51
0.1161707,0.9932293,0,-50
0.0083980,0.9999647,0,-49
-0.2948527,0.9555427,0,-48
0.9972529,-0.0740715,0,-47
-0.9787973,0.2048310,0,-46
0.9808176,-0.1949281,0,-45
0.9555069,0.2949688,0,-44
0.1199011,-0.9927858,0,-43
0.3247864,0.9457874,0,-42
-0.2352472,0.9719356,0,-41
-0.8017572,-0.5976498,0,-40
0.4002143,0.9164216,0,-39
-0.6724446,-0.7401475,0,-38
0.9865409,0.1635144,0,-37
0.3880735,0.9216284,0,-36
0.3533772,-0.9354810,0,-35
0.9891617,-0.1468301,0,-34
0.4073017,0.9132937,0,-33
-0.0496147,-0.9987684,0,-32
0.0229148,-0.9997374,0,-31
0.9986557,-0.0518342,0,-30
-0.2722285,0.9622326,0,-29
0.8794309,0.4760265,0,-28
-0.8921785,0.4516830,0,-27
-0.4573583,0.8892825,0,-26
-0.3890234,0.9212279,0,-25
-0.5984049,0.8011938,0,-24
-0.9645692,0.2638300,0,-23
-0.7083687,-0.7058427,0,-22
-0.8861431,-0.4634117,0,-21
-0.5403596,-0.8414342,0,-20
-0.7434319,0.6688116,0,-19
0.9547269,0.2974837,0,-18
-0.3392445,-0.9406983,0,-17
-0.9136236,-0.4065610,0,-16
-0.6867933,0.7268528,0,-15
-0.5401109,-0.8415938,0,-14
0.9948369,-0.1014869,0,-13
-0.9735631,0.2284184,0,-12
0.4049523,0.9143378,0,-11
-0.3376741,0.9412631,0,-10
0.9221920,0.3867323,0,-9
-0.8376730,0.5461721,0,-8
0.6500375,0.7599021,0,-7
-0.3076549,-0.9514980,0,-6
-0.6611205,-0.7502797,0,-5
0.2722071,-0.9622387,0,-4
0.6268020,0.7791786,0,-3
-0.1170935,0.9931209,0,-2
0.5223802,0.8527127,0,-1
0.3122361,-0.9500045,0,1
0.7510725,0.6602197,0,2
0.9612304,0.2757467,0,3
-0.9971829,0.0750081,0,4
0.7246057,-0.6891637,0,5
0.6797888,0.7334079,0,6
-0.6235599,0.7817756,0,7
0.7051333,0.7090747,0,8
0.9592484,-0.2825644,0,9
-0.4415090,0.8972568,0,10
-0.9652842,-0.2612020,0,11
0.7214371,0.6924800,0,12
0.0764630,0.9970725,0,13
-0.7995783,0.6005619,0,14
-0.9961721,-0.0874141,0,15
0.1192346,-0.9928662,0,16
0.2675559,-0.9635423,0,17
0.3388510,0.9408400,0,18
0.2713777,-0.9624729,0,19
0.9789043,0.2043194,0,20
-0.5580847,-0.8297840,0,21
0.5820376,-0.8131618,0,22
-0.8951789,-0.4457069,0,23
0.9999347,-0.0114296,0,24
-0.3499734,0.9367597,0,25
0.2928536,0.9561573,0,26
-0.9826746,-0.1853393,0,27
-0.7455072,0.6664975,0,28
-0.0201152,0.9997977,0,29
-0.9937039,-0.1120382,0,30
0.8428277,-0.5381835,0,31
0.7068686,0.7073449,0,32
-0.9993547,0.0359182,0,33
-0.9990102,0.0444817,0,34
-0.4114577,0.9114288,0,35
-0.6505154,0.7594931,0,36
0.9200081,-0.3918993,0,37
-0.4211596,0.9069865,0,38
-0.7368413,-0.6760658,0,39
-0.3482301,0.9374091,0,40
-0.8462248,0.5328261,0,41
-0.9851012,-0.1719757,0,42
0.5465600,-0.8374199,0,43
-0.7075329,0.7066804,0,44
-0.9756454,-0.2193535,0,45
0.7899328,0.6131933,0,46
0.9479668,-0.3183693,0,47
-0.9051602,0.4250705,0,48
-0.9983443,0.0575213,0,49
-0.9941094,-0.1083813,0,50
-0.5992464,0.8005647,0,51
0.9203432,0.3911118,0,52
-0.4091230,-0.9124792,0,53
0.6274189,0.7786819,0,54
